x,y,z,rx,ry,rz,vx,vy,vz,vrx,vry,vrz,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6
-0.4369151699984173,-0.38404298807543197,0.1382411654724774,1.871368938524943,-1.0746885836470577,-0.6216524859622905,0.07750175621693461,5.05602075779496e-05,9.760735769936926e-05,-8.490555172306277e-05,-3.5194982364802896e-06,-0.0002439269267842971,0.530092656873192,-1.0570908816742666,1.5868188158192322,-0.0061158025050733755,1.576420169082327,0.0032470233105299723,0.07872376725837646,-0.11810712000701641,0.1908078701687951,-0.07243192603159065,0.06817613397546558,0.039364129569038106
-0.4362789937494007,-0.3840427042215727,0.1382420064032468,1.8713675156955183,-1.0746907016741607,-0.6216531509998695,0.08017906085385398,6.524910580447801e-05,9.654638646488105e-05,-8.91992180697028e-05,-1.3682229222343467e-06,-0.00025251658542407157,0.5307397518925874,-1.0580596889271874,1.5883834540906954,-0.006709303772225894,1.5769805639169154,0.003570591226631604,0.0815878655050691,-0.12206591956266778,0.19711653874752247,-0.0747518265584315,0.07065639727876581,0.04079658931192881
-0.4356228822450867,-0.3840423064274199,0.13824283758016082,1.8713660291628564,-1.0746928769860695,-0.6216538466249135,0.0826102785698706,8.154456375763615e-05,9.459831931019682e-05,-9.34186577657356e-05,1.123736100453604e-06,-0.0002603439468536993,0.5314083320765999,-1.0590578449304004,1.5899947663943952,-0.007319884167987567,1.5775595644236184,0.0039049052800169304,0.0842148622355001,-0.12563921750435733,0.202795031796188,-0.07682599259275691,0.07293131160359949,0.042110543474498024
-0.43494873455012883,-0.3840417830121335,0.13824365239730543,1.87136448078358,-1.0746951020166022,-0.6216545720598979,0.0848071428610832,9.910146003258021e-05,9.189560507840093e-05,-9.753986318311592e-05,3.894774776122545e-06,-0.0002674438831186364,0.5320965658431193,-1.0600823769636527,1.5916478948316226,-0.007945650525570613,1.5781555842984545,0.004249050051473745,0.08661579040240529,-0.1288458038748124,0.2078743229722146,-0.07866668993133215,0.07501043126794689,0.04331151026270587
-0.4342583461305888,-0.3840411250597449,0.13824444532195468,1.8713628726841083,-1.0746973698057702,-0.621655326388834,0.08678295447087794,0.00011756986145249397,8.857402558008054e-05,-0.00010153964147201905,6.881639750818541e-06,-0.0002738562844167153,0.5328027198055061,-1.0611304773771302,1.5933382530692286,-0.00858481679249401,1.5787671222733701,0.004602159232836151,0.08880328392634333,-0.13170684233243077,0.212389210920364,-0.08028762936310738,0.07690469709372416,0.04440580827935831
-0.4335533999338056,-0.3840403263941268,0.13824521189539118,1.8713612072404768,-1.074699674030658,-0.6216561085666674,0.08855198951090797,0.00013660920860630329,8.4767227195093e-05,-0.00010539653866842996,1.0022084657831248e-05,-0.000279624238674947,0.5335251679851486,-1.0621995169800567,1.5950615478381596,-0.009235712089648018,1.5793927700947394,0.004963420232606839,0.09079098882970138,-0.13424495305662734,0.2163768289142522,-0.08170339343986037,0.0786259264319296,0.04540026209781679
-0.4328354614972545,-0.3840393834568854,0.1382459486961792,1.871359487048872,-1.0747020090128943,-0.6216569174334626,0.09012902346849272,0.000155899213833797,8.060251014928356e-05,-0.00010909154017907374,1.3256935983620155e-05,-0.0002847925620057881,0.5342623970099478,-1.063287052191031,1.596813790297885,-0.009896784875405018,1.5800312170255566,0.005332076774597505,0.09259308897569256,-0.13648347629634291,0.21987544864240793,-0.08292897685453161,0.08018640243860058,0.046301965138332915
-0.43210597726730365,-0.3840382951118021,0.13824665327540608,1.8713577148894927,-1.0747043697078396,-0.6216577517320209,0.09152895349294667,0.00017514771597638458,7.619776433794555e-05,-0.00011260855280063875,1.6531609675782266e-05,-0.0002894066266507407,0.5350130081106005,-1.0643908272286016,1.5985912993481384,-0.010566604018453774,1.5806812515744264,0.005707429895523329,0.09422392910598672,-0.13844588908310826,0.22292353334155773,-0.08397942308207783,0.08159854761384912,0.04711809119367809
-0.4313662754339002,-0.3840370623993344,0.13824732407233306,1.8713558936863757,-1.0747067516800377,-0.6216586101276176,0.09276650357270765,0.00019409583744145494,7.165941150317938e-05,-0.00011593468673778279,1.9797138091311173e-05,-0.000293511440105549,0.5357757166011147,-1.0655087724214969,1.6003906986449732,-0.011243857457399642,1.5813417610458191,0.0060888376847670995,0.09569772002113455,-0.14015535106842905,0.2255590010916285,-0.08486954211547314,0.08287466847869135,0.047855747026032645
-0.4306175687005577,-0.38403568826126633,0.13824796031774858,1.8713540264654231,-1.0747091510687985,-0.6216594912287005,0.09385599920637049,0.00021252083858938327,6.70812018652702e-05,-0.00011906036399047387,2.3010776507348396e-05,-0.00029715093529357126,0.536549349420477,-1.0666389995443897,1.6022089087952371,-0.011927349015728339,1.5820117294112206,0.006475714054771489,0.0970283126864834,-0.14163435854135797,0.22781866413903934,-0.08561369608962277,0.08402675994318289,0.04852185942639572
-0.42986095850351097,-0.384034177250411,0.13824856193108065,1.8713521163125895,-1.0747115645471579,-0.6216603936075791,0.09481119995018578,0.00023023707669620838,6.254371242095723e-05,-0.00012197928295259314,2.6136260912072717e-05,-0.0003003674370477688,0.537332841217187,-1.0677797949343066,1.6040431359579157,-0.012615993845688678,1.5826902339183506,0.0068675267829146095,0.09822902978571087,-0.1429044884570629,0.2297378146424666,-0.08622564134178938,0.08506635942570492,0.0491230909975162
